Top TF:IDF,Tester,Species,Dx,terms used,Number of terms,Word Stem count,Total cases found,True Positive,False Positive,False Negative,"
True Negative",Recall-Sens,Specificity,Precision-PPV,NPV,Accuracy,F1-score,negR,negS,negF,negI,negG,negT,posR,posS,posF,posI,posG,posT
40,Sarah Alexander,Korora,Oil,"Oil, oiled, oiling, oilspill, oily",5,1,57,51,6,0,305,1,0.981,0.895,1,0.983,0.944,0,0,0,0,0,0,3,3,,,,
40,Sarah Alexander,Korora,Trauma,"Trauma, traumatic, traumatised, injury, wounds, wound",6,3,95,80,15,17,249,0.825,0.943,0.842,0.936,0.911,0.833,0,17,,0,0,0,,1,2,11,,1
40,Sarah Alexander,Hoiho,DipStom,"Diphtheritic, diphtheria, diphtheric, diphteria, diphtheritic, stomatitis, stomatitis-, stomatitis-mild",9,2,127,110,17,32,752,0.775,0.978,0.866,0.959,0.946,0.818,,8,18,6,,,,3,6,8,,
40,Sarah Alexander,Hoiho,Starve,"Starvation, starved, starving, emaciation, emaciated, emaciation, emaciated-, emacitated, skinny, thin",10,4,236,161,71,62,613,0.722,0.896,0.694,0.908,0.853,0.708,,41,15,,,5,3,26,6,40,,
20,Sarah Alexander,Korora,Oil,"Oil, oiled, oiling, oilspill, oily",5,1,57,51,6,0,305,1,0.981,0.895,1,0.983,0.944,,,,,,,,,,,,
20,Sarah Alexander,Korora,Trauma,"Trauma, traumatic, traumatised, injury, wounds, wound",6,3,95,80,15,17,249,0.825,0.943,0.842,0.936,0.911,0.833,,,,,,,,,,,,
20,Sarah Alexander,Hoiho,DipStom,"Diphtheritic, diphtheria, diphtheric, diphteria, diphtheritic, stomatitis, stomatitis-, stomatitis-mild",9,2,127,110,17,32,752,0.775,0.978,0.866,0.959,0.946,0.818,,,,,,,,,,,,
20,Sarah Alexander,Hoiho,Starve,"Starvation, starved, starving, emaciation, emaciated, emaciation, emaciated-, emacitated, skinny, thin",10,4,236,161,71,62,613,0.722,0.896,0.694,0.908,0.853,0.708,,,,,,,,,,,,
10,Sarah Alexander,Korora,Oil,"Oil, oiled, oiling, oilspill, oily",5,1,57,51,6,0,305,1,0.981,0.895,1,0.983,0.944,,,,,,,,,,,,
10,Sarah Alexander,Korora,Trauma,"Trauma, traumatic, traumatised, injury, wounds, wound",6,3,95,80,15,17,249,0.825,0.943,0.842,0.936,0.911,0.833,,,,,,,,,,,,
10,Sarah Alexander,Hoiho,DipStom,"Diphtheritic, diphtheria, diphtheric, diphteria, diphtheritic, stomatitis",6,2,126,109,17,33,752,0.768,0.978,0.865,0.958,0.945,0.813,,,,,,,,,,,,
10,Sarah Alexander,Hoiho,Starve,"Starvation, starved, emaciation, emaciated, emaciation, emaciated-, emacitated, skinny, thin",9,4,235,165,70,62,614,0.727,0.898,0.702,0.908,0.855,0.714,,,,,,,,,,,,
5,Sarah Alexander,Korora,Oil,"Oil, oiled, oiling, oilspill, oily",5,1,57,51,6,0,305,1,0.981,0.895,1,0.983,0.944,,,,,,,,,,,,
5,Sarah Alexander,Korora,Trauma,"traumatic, injury, wound, wounds",4,3,64,58,6,39,258,0.598,0.977,0.906,0.869,0.875,0.72,,,,,,,,,,,,
5,Sarah Alexander,Hoiho,DipStom,"diphtheritic, diphtheric, stomatitis",3,2,123,108,15,34,754,0.761,0.98,0.878,0.957,0.946,0.815,,,,,,,,,,,,
5,Sarah Alexander,Hoiho,Starve,"Starvation, starved, emaciation, emaciated, emaciation, emacitated, skinny",7,3,201,164,37,63,647,0.722,0.946,0.816,0.911,0.89,0.766,,,,,,,,,,,,
40,Brett Gartrell,Korora,Oil,"Oiled, oil, oiling, oilspill, oily",5,1,57,51,6,0,304,1,0.981,0.895,1,0.983,0.944,0,0,0,0,0,0,3,3,,,,
40,Brett Gartrell,Korora,Trauma,"Trauma, traumatic, post-traumatic, traumatised, injuries, injury, injurues, laceration, lacerations, fractures, fracture, fractured, predation, predator, predated, haemorrhage, haematoma, haemorrhages, haematomas, hematoma",20,7,123,85,38,12,226,0.876,0.856,0.691,0.95,0.861,0.773,,12,,,,,,18,5,12,,3
40,Brett Gartrell,Hoiho,DipStom,"Stomatitis, stomatitis-, stomatitis-mild, diptheritic, diphtheritic, diphtheria, diphtheric, diptheria, diphtherial, diptheric, diphteria, diphtheritic, diptheritis, dipthertic, oral",15,3,237,122,115,20,654,0.859,0.85,0.515,0.97,0.852,0.644,,1,16,3,,,,85,12,17,,
40,Brett Gartrell,Hoiho,Starve,"Malnutrition, malnourishment, malnutritioned, emaciation, emaciated, emaciation, emaciated-, emacitated, starved, starvation, starving",11,3,202,164,38,63,646,0.722,0.944,0.812,0.911,0.889,0.765,,42,15,,,5,,,6,36,,
20,Brett Gartrell,Korora,Oil,"Oiled, oil, oiling, oilspill, oily",5,1,57,51,6,0,304,1,0.981,0.895,1,0.983,0.944,,,,,,,,,,,,
20,Brett Gartrell,Korora,Trauma,"Trauma, traumatic, post-traumatic, traumatised, injuries, injury, injurues, laceration, lacerations, fractures, fracture, fractured, predation, predator, predated, haemorrhage, haematoma, haemorrhages, haematomas, hematoma",20,7,123,85,38,12,226,0.876,0.856,0.691,0.95,0.861,0.773,,,,,,,,,,,,
20,Brett Gartrell,Hoiho,DipStom,"Stomatitis, stomatitis-, stomatitis-mild, diptheritic, diphtheritic, diphtheria, diphtheric, diptheria, diphtherial, diptheric, diphteria, diphtheritic, diptheritis, dipthertic, oral",15,3,237,122,115,20,654,0.859,0.85,0.515,0.97,0.852,0.644,,,,,,,,,,,,
